accession,collection_date,isolation_source,isolation_taxa,city,county,state,FIPS,region_name,district_name,latitude,longitude,data_source
W176,2-Sep-04,mosquito,Culex quinquefasciatus,Montebello,Los Angeles,California,6037,West,Pacific,34.015,-118.13,WN4K
W783,7-Sep-04,bird,Aphelocoma californica,Elk Grove,Sacramento,California,6067,West,Pacific,38.422,-121.38,WN4K
W256,8-Sep-04,bird,Euphagus cyanocephalus,Bakersfield,Kern,California,6029,West,Pacific,35.265,-119.052,WN4K
W633,17-Sep-04,mosquito,Culex tarsalis,Natomas,Sacramento,California,6067,West,Pacific,38.733,-121.493,WN4K
W356,21-Sep-04,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.428,-119.115,WN4K
W357,23-Sep-04,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.365,-118.998,WN4K
W634,8-Oct-04,mosquito,Culex tarsalis,Freeport,Sacramento,California,6067,West,Pacific,38.44,-121.5,WN4K
W117,13-Jun-05,bird,Aphelocoma californica,Visalia,Tulare,California,6107,West,Pacific,36.316,-119.33,WN4K
W177,13-Jun-05,mosquito,Culex quinquefasciatus,Lakewood,Los Angeles,California,6037,West,Pacific,33.842,-118.098,WN4K
W257,16-Jun-05,bird,Turdus migratorius,Bakersfield,Kern,California,6029,West,Pacific,35.33,-119.073,WN4K
W178,21-Jun-05,mosquito,Culex tarsalis,Long_Beach,Los Angeles,California,6037,West,Pacific,33.768,-118.119,WN4K
W358,21-Jun-05,mosquito,Culex tarsalis,Bakersfield,Kern,California,6029,West,Pacific,35.351,-119.162,WN4K
W787,21-Jun-05,bird,Aphelocoma californica,Davis,Yolo,California,6113,West,Pacific,38.538,-121.762,WN4K
W258,24-Jun-05,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.36,-119.046,WN4K
W118,27-Jun-05,bird,Pica nuttalli,Yuba City,Sutter,California,6101,West,Pacific,39.119,-121.651,WN4K
